duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
11686690.541,139249949.0,3369743.0,3068,45.0,0,64.0
11689249.11,140121102.0,3369071.0,3108,45.0,0,64.0
11692884.475,139148569.0,3373893.0,3148,45.0,0,64.0
11687554.107,139642404.0,3369010.0,3144,45.0,0,64.0
11681875.866,138959117.0,3370779.0,2984,45.0,0,64.0
11696340.831,138808055.0,3371391.0,3044,45.0,0,64.0
11698237.05,138926036.0,3375114.0,3144,45.0,0,64.0
11680824.643,138589245.0,3367423.0,3068,45.0,0,64.0
11683427.824,138053907.0,3367239.0,3144,45.0,0,64.0
11686989.918,138300855.0,3372306.0,3000,45.0,0,64.0
