duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
1693801.447,24219116.0,486876.0,1720,45.0,0,67.0
1689174.588,23489442.0,485167.0,1720,45.0,0,66.0
1692559.374,23495546.0,486449.0,1720,45.0,0,66.0
1691412.147,23571778.0,486022.0,1716,45.0,0,65.0
1694571.432,23498719.0,487059.0,1720,45.0,0,65.0
1697728.008,24105224.0,487792.0,1720,45.0,0,67.0
1694014.012,23405152.0,486571.0,1720,45.0,0,66.0
1695430.201,23959534.0,487242.0,1716,45.0,0,66.0
1697543.964,23801880.0,487364.0,1716,45.0,0,66.0
1684178.239,23769897.0,484374.0,1708,45.0,0,66.0
