duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
634808.034,8648110.0,183227.0,3032,45.0,0,45.0
618025.582,9043801.0,177550.0,3028,45.0,0,66.0
626281.399,8672525.0,180541.0,3028,45.0,0,45.0
603511.139,8965370.0,173462.0,3032,45.0,0,66.0
651724.601,8787941.0,187499.0,3068,45.0,0,45.0
602719.071,8878579.0,173278.0,3016,45.0,0,67.0
636002.652,8661905.0,183044.0,3016,45.0,0,45.0
603259.85,8839577.0,173462.0,3012,45.0,0,67.0
623962.399,8631936.0,179565.0,3036,45.0,0,45.0
666764.558,9477149.0,191406.0,3016,45.0,0,66.0
