duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
1760449.766,23162660.0,756285.0,151784,45.0,0,65.0
1755382.133,23185610.0,751646.0,151828,45.0,0,65.0
1759163.626,22995364.0,752257.0,151756,45.0,0,63.0
1758881.21,23195253.0,752622.0,151840,45.0,0,66.0
1764621.306,22998598.0,766417.0,151832,45.0,0,63.0
1760902.769,23005800.0,753966.0,151820,45.0,0,63.0
1756239.114,23138918.0,754209.0,151756,45.0,0,66.0
1759271.345,23207277.0,755247.0,151840,45.0,0,65.0
1759614.137,23168886.0,752867.0,151820,45.0,0,66.0
1760464.86,23118533.0,755858.0,151828,45.0,0,65.0
