duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
32008246.949,504942311.0,9214332.0,39768,45.0,0,78.0
31982320.242,505610949.0,9200538.0,39632,45.0,0,79.0
31996752.68,507352705.0,9210669.0,39776,45.0,0,78.0
32009748.516,509675331.0,9211158.0,39796,45.0,0,82.0
32021191.725,507469954.0,9215369.0,39732,45.0,0,79.0
32007686.21,506534103.0,9214698.0,39796,45.0,0,79.0
31998975.228,507730146.0,9204567.0,39772,45.0,0,81.0
31992215.625,504426565.0,9209510.0,39652,45.0,0,79.0
32024513.051,510539891.0,9217079.0,39748,45.0,0,82.0
31998368.187,505838305.0,9204262.0,39880,45.0,0,79.0
