duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
32624529.205,530571212.0,9383460.0,20720,45.0,0,78.0
33673450.742,539918051.0,9689550.0,20764,45.0,0,81.0
32683333.182,534440038.0,9398109.0,20760,45.0,0,81.0
33720211.966,539318810.0,9702490.0,20768,45.0,0,79.0
32628684.442,532355204.0,9385535.0,20792,45.0,0,81.0
32693078.638,531024397.0,9402442.0,20768,45.0,0,79.0
33675103.292,537356351.0,9689368.0,20748,45.0,0,79.0
33743096.745,539114953.0,9702490.0,20768,45.0,0,79.0
32655344.333,529980760.0,9393043.0,20768,45.0,0,78.0
33560897.28,537561917.0,9658240.0,20760,45.0,0,78.0
