duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
1042206.651,29273606.0,323913.0,48768,45.0,0,64.0
1013514.979,28330250.0,313232.0,48720,45.0,0,65.0
1026131.703,29600022.0,318419.0,48708,45.0,0,65.0
1017292.948,28537525.0,316955.0,48824,45.0,0,64.0
1027994.827,28345691.0,319518.0,48820,45.0,0,64.0
1024897.88,29262498.0,316589.0,48692,45.0,0,66.0
1017456.287,28838060.0,314147.0,48812,45.0,0,66.0
1020922.019,28558521.0,316711.0,48856,45.0,0,66.0
1020522.57,29455735.0,315978.0,48872,45.0,0,63.0
1015311.943,28549244.0,315490.0,48668,45.0,0,65.0
