duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
981839.315,26222101.0,292724.0,27164,45.0,0,45.0
949694.85,26002009.0,282653.0,27524,45.0,0,62.0
987616.736,26926689.0,294189.0,27008,45.0,0,65.0
974155.424,26868156.0,289611.0,27520,45.0,0,45.0
960562.013,26467705.0,285766.0,27536,45.0,0,64.0
984069.933,26688775.0,292479.0,26768,45.0,0,65.0
980396.009,26145136.0,291137.0,26844,45.0,0,45.0
935703.049,27197074.0,278380.0,27340,45.0,0,65.0
976013.102,26420465.0,290160.0,26748,45.0,0,45.0
963512.415,26380792.0,286376.0,26700,45.0,0,64.0
