duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
2186885.81,84039275.0,680235.0,82516,45.0,0,75.0
2184367.21,84432890.0,681883.0,83572,45.0,0,75.0
2190405.328,84101103.0,681273.0,83604,45.0,0,75.0
2279229.682,87402364.0,707640.0,83596,45.0,0,76.0
2274239.262,87537678.0,705626.0,82540,45.0,0,75.0
2197808.612,84359892.0,683897.0,82576,45.0,0,75.0
2191631.225,83782439.0,682371.0,82616,45.0,0,75.0
2186443.357,83886382.0,677305.0,83752,45.0,0,75.0
2261937.689,87143759.0,701902.0,83616,45.0,0,75.0
2196966.995,83908964.0,684141.0,82560,45.0,0,75.0
