duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
4808847.659,64852678.0,1390316.0,21692,45.0,0,66.0
4808790.936,65067888.0,1390134.0,21700,45.0,0,66.0
4810353.228,64579913.0,1390621.0,21696,45.0,0,65.0
4797824.839,64406085.0,1387021.0,21744,45.0,0,66.0
4795307.277,65066606.0,1390683.0,21708,45.0,0,66.0
4801344.295,64968279.0,1388302.0,21696,45.0,0,66.0
4783282.671,64933611.0,1382870.0,21712,45.0,0,66.0
4814161.777,65114640.0,1395504.0,21704,45.0,0,66.0
4810959.539,64848345.0,1391415.0,21696,45.0,0,67.0
4802807.357,64610003.0,1388607.0,21688,45.0,0,66.0
