duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
6064263.654,173142867.0,2677178.0,685416,45.0,0,76.0
5978927.395,170476920.0,2641534.0,687320,45.0,0,76.0
5867216.233,165802737.0,2620416.0,685716,45.0,0,75.0
6041078.446,170276907.0,2696038.0,683804,45.0,0,75.0
6102303.418,173257369.0,2686028.0,652820,45.0,0,77.0
5907253.262,169039484.0,2658929.0,686732,45.0,0,79.0
5630893.952,161057205.0,2560053.0,686220,45.0,0,75.0
5790187.844,165781803.0,2586114.0,652812,45.0,0,77.0
5712124.863,158629415.0,2559259.0,652224,45.0,0,74.0
5910617.783,165533756.0,2622186.0,685528,45.0,0,76.0
