duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
874641.689,11225619.0,680357.0,540852,45.0,0,45.0
834070.669,11596467.0,663145.0,540840,45.0,0,59.0
871648.128,11209749.0,680235.0,540896,45.0,0,45.0
852100.053,11564119.0,672239.0,540864,45.0,0,58.0
873307.219,11107149.0,675352.0,540812,45.0,0,45.0
857505.809,11393098.0,672056.0,540788,45.0,0,59.0
871545.338,11207125.0,679869.0,540912,45.0,0,45.0
830672.511,11734955.0,665342.0,540880,45.0,0,60.0
868026.193,11187227.0,676146.0,540840,45.0,0,45.0
825857.771,11830536.0,661559.0,540832,45.0,0,59.0
