duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
976520.964,12277800.0,734312.0,516512,45.0,0,45.0
925708.276,12723478.0,706663.0,516372,45.0,0,59.0
973413.68,12185577.0,733275.0,516340,45.0,0,45.0
917193.715,12698515.0,705381.0,516456,45.0,0,59.0
972482.551,12090179.0,723387.0,516464,45.0,0,45.0
927204.401,12661467.0,716551.0,516512,45.0,0,59.0
972950.72,12131561.0,730040.0,516520,45.0,0,45.0
925784.874,12660551.0,712095.0,516576,45.0,0,58.0
971726.448,12066741.0,734068.0,516500,45.0,0,45.0
926006.421,12618925.0,706663.0,517164,45.0,0,59.0
