duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
543840.342,17384172.0,171386.0,40552,45.0,0,45.0
559030.9,17621232.0,175781.0,40444,45.0,0,67.0
547142.536,17537370.0,171569.0,40464,45.0,0,45.0
515383.819,17852920.0,163269.0,40468,45.0,0,69.0
561001.055,18131789.0,176208.0,40556,45.0,0,45.0
508891.878,17938614.0,160888.0,40668,45.0,0,69.0
541043.037,17405107.0,173828.0,40468,45.0,0,45.0
514745.843,17947830.0,161987.0,40484,45.0,0,69.0
538395.486,17581253.0,169006.0,40464,45.0,0,45.0
515051.916,18019547.0,162231.0,40452,45.0,0,69.0
