duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
303677069.34,8903331699.0,85420802.0,12228,45.0,0,88.0
304075519.805,8914690374.0,85657191.0,12268,45.0,0,88.0
304488821.832,8894567379.0,85915857.0,12304,45.0,0,88.0
305185228.77,8996712869.0,86346215.0,12324,45.0,0,88.0
304281411.262,8900246136.0,86135461.0,12200,45.0,0,89.0
308182961.525,8811201626.0,87196615.0,12312,45.0,0,88.0
307283055.226,8798945126.0,86948691.0,12300,45.0,0,88.0
303879380.859,8900113934.0,86000939.0,12328,45.0,0,88.0
303574699.057,8942930598.0,85919214.0,12276,45.0,0,89.0
309083301.882,8839728774.0,88233600.0,12184,45.0,0,88.0
