duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
58240056.602,1009319682.0,16689167.0,8688,45.0,0,87.0
58222797.082,1008995770.0,16685870.0,8588,45.0,0,87.0
58175992.771,1004732352.0,16670917.0,8632,45.0,0,86.0
58052197.354,1004548393.0,16634662.0,8592,45.0,0,84.0
58018106.781,1007514145.0,16626423.0,8588,45.0,0,86.0
58432725.346,1004758842.0,16741352.0,8556,45.0,0,85.0
57963541.514,1009273417.0,16608600.0,8664,45.0,0,86.0
57856562.619,994659136.0,16579120.0,8608,45.0,0,85.0
57955730.357,1014327665.0,16607196.0,8592,45.0,0,85.0
59131084.429,1020971873.0,16943438.0,8604,45.0,0,84.0
