duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
63335524.341,1972607499.0,29492966.0,505368,45.0,0,89.0
61129096.172,1931177979.0,28078175.0,505396,45.0,0,88.0
63564541.055,1974076245.0,28642261.0,505412,45.0,0,89.0
62260616.288,1948754777.0,28423023.0,505396,45.0,0,88.0
62835361.342,1961174667.0,29020494.0,505424,45.0,0,88.0
63318879.229,1940681983.0,28682178.0,505392,45.0,0,89.0
61615807.781,1940184791.0,28242970.0,505436,45.0,0,88.0
64322268.153,1937043503.0,28904223.0,505432,45.0,0,89.0
62245616.239,1905837223.0,30513166.0,505424,45.0,0,87.0
65224350.538,1987338479.0,29909896.0,505412,45.0,0,89.0
