duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
154285978.118,4896012186.0,44061899.0,12944,45.0,0,89.0
154766939.513,4869770736.0,44216501.0,12916,45.0,0,89.0
155363579.134,4868193409.0,44673103.0,12932,45.0,0,89.0
154091359.418,4839197207.0,44095407.0,12916,45.0,0,89.0
154973187.697,4822488875.0,44381540.0,12924,45.0,0,89.0
155510622.558,4777647987.0,44592537.0,12924,45.0,0,89.0
155160283.833,4798369247.0,44541451.0,12920,45.0,0,89.0
154976820.367,4831343650.0,44484444.0,12960,45.0,0,88.0
155476342.468,4881109147.0,44631661.0,12940,45.0,0,89.0
153891992.866,4815715150.0,44130929.0,12948,45.0,0,89.0
