duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp
99339274.751,3096005318.0,28638537.0,13944,45.0,0,89.0
98574903.966,3064205351.0,28416370.0,13972,45.0,0,89.0
97270993.031,3125809075.0,28040334.0,14004,45.0,0,89.0
96772396.643,3155761147.0,27910085.0,13952,45.0,0,89.0
99975972.543,3232892846.0,28811877.0,14004,45.0,0,89.0
97071496.198,3135625823.0,27984303.0,13964,45.0,0,89.0
97774701.49,3078597709.0,28193043.0,14076,45.0,0,89.0
97671979.932,3131506022.0,28156971.0,13992,45.0,0,89.0
98474652.087,3058036544.0,28396228.0,13968,45.0,0,89.0
97070283.938,3128983872.0,27978688.0,13996,45.0,0,89.0
